Id,SalePrice
2658,227756.7232876517
2718,231985.3112320141
2414,180916.9799039453
1989,123668.40465719301
625,169857.59604945907
333,137113.14581362726
1327,137221.571145534
858,156196.00422921136
95,200867.2409747832
1568,157388.68288018537
2482,150666.31230196822
1364,131475.0285544774
2584,167797.51474323124
818,320894.0833955309
2673,216805.7647650722
2089,164002.62812649575
1297,174411.45998954162
790,135053.06450739945
2616,210950.7968421089
720,207589.61155300034
222,133643.53519261198
557,112392.17013889331
1148,194036.44506465935
2766,125836.91129532756
534,150774.73763387496
1452,112392.17013889331
630,207155.91022537343
2648,208457.01420825414
125,132992.98320117162
1904,91357.65574898812
1670,111741.61814745296
756,149690.4843148077
717,304955.5596052419
1032,146437.72435760585
852,180483.27857631838
1731,176796.81729148963
2639,198373.45834092848
2071,126921.16461439485
1267,117379.7354066028
1851,165954.28410081685
567,151425.28962531532
2439,223202.85934756915
1898,162593.0988117083
647,166496.4107603505
2256,181459.10656347894
979,164436.32945412266
1444,212360.32615689636
2485,123343.12866147283
157,120198.79403617773
88,131475.0285544774
2003,154027.4975910768
186,264621.3361359392
1425,193819.5944008459
2695,166171.13476463032
738,142534.41240896366
395,129957.07390778323
1353,216046.78744172512
1878,164436.32945412266
390,148064.10433620677
1456,220925.92737752784
1103,236213.89917637646
1387,142317.5617451502
2070,146220.87369379238
1199,199782.98765571593
2479,192518.49041796516
501,242394.14309505996
2362,111741.61814745296
1718,159882.4655140401
2188,102633.89026728782
1483,110657.36482838567
2557,99706.40630580617
437,291944.5197764346
2224,187856.20114597588
1628,178314.77193818384
397,132559.28187354468
587,205637.95557867922
971,210733.94617829545
2611,149582.05898290096
1887,114343.82611321443
2399,211709.77416545598
2148,176905.24262339636
304,138739.52579222817
1997,165954.28410081685
2817,174411.45998954162
1431,201734.64363003703
427,240117.2111250187
263,113693.27412177405
598,161834.1214883612
2895,203794.72493626486
687,180808.55457203856
1822,127029.58994630158
2191,164653.18011793614
179,154352.77358679697
1009,151858.99095294223
2010,156846.55622065172
1991,196747.07836232756
1411,182326.50921873277
1721,187205.6491545355
1144,200541.96497906302
593,199240.86099618228
575,202385.1956214774
1249,212794.02748452328
1604,118789.26472139027
1064,286523.2531810982
1923,153593.79626344988
1988,112609.02080270677
2325,181459.10656347894
114,223744.98600710277
2700,226997.7459643046
217,217347.89142460583
343,174194.60932572818
386,221901.7553646884
2005,168556.49206657833
2908,142317.5617451502
1814,180700.12924013185
2446,411971.36219718226
208,215179.3847864713
1679,159882.4655140401
822,205204.25425105233
6,192626.9157498719
1781,231876.88590010736
2397,232310.58722773427
2340,204553.70225961195
1618,178097.92127437037
2843,260501.1735234835
1061,271452.132046063
2786,112392.17013889331
1935,128005.41793346213
1341,150557.88697006152
521,184603.44118877404
2136,129848.64857587649
996,196313.37703470065
227,174845.16131716853
135,141016.45776226948
1167,186663.52249500187
294,249983.9163285309
1776,167146.96275179085
540,139498.50311557527
1717,159882.4655140401
2303,107187.75420737038
116,168448.0667346716
127,135595.19116693307
1371,177989.49594246363
1014,178531.62260199728
1507,141992.28574943
702,231226.333908667
750,210408.67018257527
261,169640.7453856456
1559,112392.17013889331
577,207372.76088918687
2812,205204.25425105233
2080,195012.2730518199
1368,148606.2309957404
2376,116295.48208753552
659,104585.54624160891
1235,137763.69780506764
332,137113.14581362726
1917,120198.79403617773
2094,249333.36433709055
1460,264079.2094764055
1471,180591.7039082251
1509,148823.08165955386
1922,133209.83386498506
433,308642.02089007065
460,176579.9666276762
1116,188181.47714169606
1137,139498.50311557527
53,142859.68840468384
2354,270042.60273127555
1475,175387.28797670218
1761,504024.4689859942
842,126053.76195914102
2739,187856.20114597588
2509,151316.8642934086
1007,224178.68733472968
2610,206722.20889774652
1952,93634.58771902941
2719,230033.655257693
2921,137113.14581362726
1966,153376.94559963644
292,199349.28632808902
1204,233177.9898829881
1829,253670.37761335965
2419,180483.27857631838
391,165086.88144556302
798,155111.75091014407
481,180158.0025805982
193,242936.2697545936
555,124969.50864007375
899,121066.19669143154
2357,199132.43566427557
328,121174.62202333828
1356,109573.11150931839
1154,112392.17013889331
1730,179615.87592106455
2249,117596.58607041625
1119,221901.7553646884
2856,177555.79461483672
1394,192301.63975415172
2587,142859.68840468384
61,287065.3798406318
2661,246839.5817032358
2711,119981.94337236427
1147,204120.00093198504
